Tracktitle,Artistname,Othername,ISNI code,IPI code,ISRC,album
Standing in the Way of Control,Gossip,The Gossip,not found,not found,8aa38ad1-378f-428a-a108-c067f62c7e1f,Leave Them All Behind 2
Dirt Off Your Shoulder,Jay-D,not found,not found,not found,9413c3c1-19f4-4dcd-8fce-561d5699093f,Clinton Sparks Presents: Jay-Z: Live Concert on Smash
Get The Party Started,P!nk,Pink,['000000012028175X'],['00342943558'],9f8d6ce7-6fd3-4f9c-a9f5-80b9805ef88e,Live From Wembley Arena
Gone Gone Gone,Phillip Phillips,Philips Philip,['0000000381070950'],['00688226308'],b45d16cf-c4bf-4bfa-b9c2-245a5423b18c,iTunes Session
Not Ready to Make Nice,The chicks,The Dixie Chicks,not found,not found,49cb6e7a-a730-462b-b67e-8c256c7ccba1,Star Lounge 10th Anniversary 2006
Hung Up,Madonna,not found,['000000010782262X'],"['00125053706', '00128246872', '00211854787']",31a6b752-291c-456f-ade5-f4b85545e6df,not found
Wolf Like Me,Tv on the Radio,not found,['0000000121781377'],not found,77e99530-723f-47d9-825e-06a22e79a981,"2008-10-11: Lupo's Heartbreak Hotel, Providence, RI, USA"
No One Knows,Queens of the Stone Age,Queen Of Stoneage,['0000000086738559'],not found,da2f919b-27df-48eb-95a1-88d1c4d0b741,Sample This School Boy
Use Somebody,Kings Of Leon,not found,['0000000122901684'],not found,8c0e7d66-7b55-4cf8-9597-6d8dd5472468,2Cellos
I Bet You Look Good On The Dance Floor,Arctic Monkeys,The Arctic Monkeys,['000000012270850X'],not found,ec158537-8def-4dec-924f-94d976a0fad8,Isles of Wonder: Music for the Opening Ceremony of the London 2012 Olympic Games
Viva La Vida,Coldplay,Cold Play,['000000011551394X'],not found,5ce88d3e-fff7-4da9-a02e-8399b9241d30,Big Hits - 2009
Boulevard of Broken Dreams,Green day,Greenday,['0000000122711282'],not found,9ec5ecee-92b3-4aa8-aeeb-c866da2dec11,Thaumatrope
Vertigo,Irish rock band U2,U2 Kiwi,['0000000121505903'],not found,cf4ce2dd-a10e-45e9-81c1-259720f34d87,Vertigo in Mexico City
Are You Gonna Be My Girl,Australian rock band Jet,not found,not found,not found,d56397e4-e84d-4e98-b1a0-271ef88b9a8f,Greatest Ever! Festival Anthems: The Definitive Collection
Irreplaceable,Beyonce,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],8fc91e1d-9ba4-4a02-94d5-d0077700a04b,"Planète Rap 2007, Volume 2"
Hard to Explain,The strokes,not found,['0000000115477790'],not found,46bd3ddd-d910-4fa1-8eb5-9d6053f3794b,not found
Fell In Love With a Girl,The White Stripes,The Redd & White Stripes,['0000000122537931'],not found,aff1e933-6d14-449b-8d1f-5d40e8128963,"Random Remixes, Vol.6"
New Slang,The shins,Shins,not found,not found,978cf28a-6877-4bef-9310-644ca8b67273,"2003-09-21: Austin City Limits, Austin, TX, USA"
The Scientist,Coldplay,Cold Play,['000000011551394X'],not found,10499007-499b-4ac3-a762-a20c6baa8430,LIVE - Paris 2008.02.27
House of Jealous Lovers,The Rapture,not found,['0000000106727153'],not found,bd90cb70-3acd-4093-8e69-3fb5cafb28d1,House of Jealous Lovers
